parent ht	child ht
73,60	72,22
72,69	67,72
72,85	70,46
71,68	65,13
70,62	61,20
70,23	63,10
70,74	64,96
70,73	66,43
69,47	63,10
68,26	62,00
65,88	61,31
64,90	61,36
64,80	61,95
64,21	64,96
64,00	62,19
63,56	65,00
63,29	68,62
63,75	69,59
72,10	68,89
72,62	69,64
72,60	71,44
72,72	70,73
72,88	72,23
72,89	71,96
72,09	73,45
72,10	73,55
71,66	72,71
71,88	73,21
71,13	74,43
71,62	74,05
66,13	65,39
66,53	65,39
65,93	71,43
65,42	71,49
65,77	72,18
65,75	71,81
64,48	69,08
64,34	69,08
63,30	63,03
63,38	63,08
63,87	66,14
63,05	66,18
63,02	67,21
63,42	67,47
73,31	73,65
73,90	73,57
73,31	73,23
71,04	66,14
71,24	65,80
71,47	66,18
71,22	68,01
71,31	68,14
71,84	68,18
70,78	66,90
70,44	66,84
70,23	66,70
70,31	73,53
70,15	72,72
70,51	72,87
70,88	73,77
70,22	74,40
70,64	73,92
68,61	73,46
68,21	73,29
68,33	73,08
67,17	62,52
67,83	62,33
67,49	62,13
66,23	62,12
66,98	61,72
66,10	61,76
66,89	63,21
66,97	62,81
66,86	63,50
72,87	74,69
72,00	74,68
72,41	73,95
72,61	74,23
71,62	67,16
71,01	66,77
71,08	67,18
71,17	67,31
71,30	70,83
71,31	71,15
71,53	71,42
72,00	70,74
71,77	71,93
71,07	72,34
71,88	72,47
71,99	71,76
69,40	65,56
69,77	65,10
69,46	65,43
69,59	65,25
69,84	73,61
69,13	73,32
69,48	72,98
69,38	73,16
66,09	70,20
66,44	70,31
66,37	70,14
66,86	69,71
64,03	62,88
64,63	63,02
64,84	63,59
64,56	63,48
64,32	64,61
64,28	64,08
64,37	64,18
64,33	64,19
63,03	64,69
63,85	64,31
63,03	64,65
63,88	64,41
71,80	69,58
71,13	69,36
71,46	69,25
71,44	68,81
71,93	68,91
69,47	74,28
69,90	74,28
69,63	74,29
69,16	74,58
69,65	73,77
67,93	63,14
67,33	63,65
67,59	63,22
67,89	63,65
67,12	63,06
66,73	63,95
66,48	63,91
66,07	64,53
66,01	64,02
66,38	64,49
65,33	64,47
65,41	64,13
65,63	64,03
65,25	64,34
65,12	64,20
65,85	70,22
65,08	70,24
65,78	70,43
65,97	70,36
65,35	70,64
64,39	66,15
64,89	66,14
64,06	66,31
64,24	66,43
64,06	66,38
64,88	67,38
64,32	67,53
64,02	67,41
64,57	67,08
64,27	67,16
70,46	71,57
70,62	71,31
70,31	70,75
70,42	71,46
70,98	70,99
70,53	70,89
70,10	71,32
70,10	72,66
70,73	72,44
70,83	71,93
70,86	72,27
70,67	72,18
70,56	71,96
70,54	72,67
68,57	62,80
