treatment seasick
dramanine no
dramanine yes
placebo no
dramanine no
placebo no
placebo no
placebo no
placebo no
dramanine no
dramanine no
dramanine no
dramanine no
dramanine no
placebo yes
dramanine no
dramanine no
dramanine no
placebo no
placebo yes
placebo no
dramanine no
placebo yes
placebo yes
placebo no
dramanine yes
placebo no
dramanine no
placebo no
dramanine no
dramanine no
placebo yes
dramanine no
dramanine no
placebo yes
dramanine yes
dramanine no
placebo no
placebo no
placebo no
dramanine no
dramanine no
dramanine no
placebo yes
dramanine no
dramanine no
placebo yes
dramanine no
placebo yes
placebo no
placebo yes
dramanine no
placebo no
dramanine no
placebo no
dramanine no
placebo no
placebo yes
dramanine no
dramanine no
placebo yes
dramanine no
dramanine no
placebo no
dramanine no
