CVR,Profit,Assets,Equity,YearEnd,Equity_sqrt,Assets_sqrt,Profit_sqrt,Default_nextyear,Age
89993911,20711,5859152,141302,2013-09-30,375.90158286445137,2420.5685282594254,143.91316826475608,0,11310
89950910,203858,416541,158671,2013-12-31,398.33528590874295,645.3998760458511,451.50636761844237,0,11614
89907314,18283,3176256,770274,2014-06-30,877.6525508423023,1782.2053753706389,135.21464417732275,0,11833
89896711,865715,63667870,22241694,2014-06-30,4716.110049606561,7979.214873657684,930.4380688686379,0,11840
89848911,14546,1052132,117684,2014-12-31,343.05101661414733,1025.734858528265,120.60679914499016,0,12038
89848911,13262,1185662,103137,2013-12-31,321.1494978977859,1088.8810770694843,115.16075720487426,0,11673
89847710,4047451,21428885,7803317,2014-04-30,2793.441783893124,4629.1343683241685,2011.8277759291425,0,11787
89829011,91398,873603,619833,2014-03-31,787.2947351532334,934.6673204943029,302.3210214325163,0,11785
89689813,419097,4936476,2000000,2014-09-30,1414.213562373095,2221.8181743788127,647.3770153473167,0,11953
89683610,386910,2335675,1105087,2014-04-30,1051.231182946929,1528.2915297808856,622.0208999704109,0,11842
89634318,9297324,91489744,46935984,2014-06-30,6850.984162877623,9565.027130123573,3049.1513573451875,0,12467
89568412,-123,195497,189197,2013-12-31,434.9678149012867,442.1504268911204,-11.090536506409418,0,12483
89568412,-489,195108,188708,2014-12-31,434.4053406669858,441.7103123088706,-22.11334438749598,0,12848
89526310,53479,861553,833728,2014-12-31,913.0870714230927,928.1987933627149,231.25527021021597,0,12868
89526310,68513,813074,780249,2013-12-31,883.3170438749611,901.7061605645156,261.74988061124304,0,12503
89482712,85260,6339024,2385285,2014-03-31,1544.4367905485806,2517.7418453844707,291.99315060459895,0,12421
89454611,632489,4131548,1694716,2014-04-30,1301.812582517161,2032.6209681098933,795.291770358527,0,12485
89421217,24803,2465453,1851514,2014-04-30,1360.7034945203895,1570.1761047729647,157.48968220172392,0,12538
89335310,1145629,6612278,2361950,2014-06-30,1536.8636894663105,2571.4350079284523,1070.3405999960946,0,12607
89013712,31182,3632309,2087037,2014-06-30,1444.6580910374607,1905.861747346853,176.58425750898635,0,12523
88953614,341481,10054159,1965399,2014-06-30,1401.9268882505962,3170.8293867693355,584.3637565763298,0,12554
88891317,-278945,567049,211068,2014-06-30,459.4213752101659,753.0265599565529,-528.1524401155409,0,12561
88415817,-370801,6382275,1690646,2013-12-31,1300.2484377994845,2526.3164884867456,-608.9343150127114,0,12447
88265319,45279,6432100,5715310,2014-06-30,2390.671453797029,2536.1585123962577,212.788627515664,0,12652
87973611,10265,778504,162572,2014-05-31,403.2021825337755,882.3287369229226,101.31633629380802,0,12658
87944611,-77501,132185,-864495,2014-04-30,-929.7822325684655,363.572551219148,-278.39001418872766,0,12660
87942910,378873,20197106,19998552,2013-12-31,4471.97406074767,4494.119046042283,615.526603811728,0,12529
87925110,1595360,11139092,4970275,2013-12-31,2229.411357286941,3337.5278275993446,1263.0756113550765,0,12432
87925110,1216094,11271403,5186369,2014-12-31,2277.3600944953787,3357.291021046582,1102.7665210732505,0,12797
87870715,70789,1103938,-49012,2014-12-31,-221.38653978957257,1050.6845387650853,266.0620228442985,0,13207
87870715,150137,1042446,-119801,2013-12-31,-346.1228105745127,1021.0024485768876,387.4751604941922,0,12842
