sex	lean body mass	strength
women	35.4475347	95.7980169
women	30.8274894	82.9075275
women	40.7018064	111.845506
women	31.9946103	56.4171516
women	38.6909631	105.310207
women	44.0470695	114.534752
women	27.9983928	78.7716653
women	39.7618524	113.721087
women	36.2382442	114.958035
women	33.526501	80.493679
women	36.6351903	80.9158933
women	43.9632344	115.098517
women	46.9927895	126.332335
women	31.8868909	83.9770127
women	32.0145282	104.977511
women	39.6560627	77.8574235
women	46.1821747	102.020523
women	35.6803825	81.8380758
men	50.6948411	164.007073
men	42.978051	113.318644
men	57.1194589	145.526809
men	51.1457687	155.869404
men	58.245017	156.867606
men	44.8778051	142.281065
men	53.0110384	156.99989
men	48.2406078	103.021803
men	48.2974797	139.150707
men	57.9781083	137.282096
men	50.7295351	137.13153
men	59.4644394	164.829208
men	50.1931135	155.099191
men	48.3895554	123.476726
men	54.713202	176.80209
men	58.1742675	165.670839
