edu	sex	exper	wage	age	occup
8	1	21	5.1	36	6
9	1	42	4.95	59	6
12	0	1	6.67	19	6
12	0	4	4	22	6
12	0	17	7.5	36	6
13	0	9	13.07	28	6
10	0	27	4.45	44	6
12	0	9	19.47	27	6
16	0	11	13.28	33	6
12	0	9	8.75	28	6
12	0	17	11.35	36	6
12	0	19	11.5	38	6
8	0	27	6.5	44	6
9	0	30	6.25	48	6
9	0	29	19.98	45	6
12	0	37	7.3	55	6
7	0	44	8	59	6
12	0	26	22.2	44	6
11	0	16	3.65	34	6
12	0	33	20.55	52	6
12	1	16	5.71	35	6
7	0	42	7	59	6
12	0	9	3.75	27	6
11	0	14	4.5	32	6
12	0	23	9.56	42	6
6	0	45	5.75	59	6
12	0	8	9.36	26	6
10	0	30	6.5	49	6
12	1	8	3.35	26	6
12	0	8	4.75	26	6
14	0	13	8.9	34	6
12	1	46	4	64	6
8	0	19	4.7	34	6
17	1	1	5	24	6
12	0	19	9.25	38	6
12	0	36	10.67	57	6
12	0	20	7.61	39	6
12	0	35	10	53	6
12	0	3	7.5	21	6
14	0	10	12.2	31	6
12	0	0	3.35	18	6
14	0	14	11	35	6
12	0	14	12	33	6
9	1	16	4.85	32	6
13	0	8	4.3	27	6
7	1	15	6	29	6
16	0	12	15	34	6
10	0	13	4.85	29	6
8	0	33	9	50	6
12	0	9	6.36	28	6
12	0	7	9.15	25	6
16	0	13	11	36	6
12	1	7	4.5	25	6
12	1	16	4.8	35	6
13	0	0	4	19	6
12	1	11	5.5	30	6
13	0	17	8.4	36	6
10	0	13	6.75	30	6
12	0	22	10	42	6
12	1	28	5	48	6
11	0	17	6.5	35	6
12	0	24	10.75	42	6
3	0	55	7	66	6
12	0	3	11.43	21	6
12	0	6	4	24	6
10	0	27	9	45	6
12	0	19	13	39	6
12	0	19	12.22	38	6
12	1	38	6.28	59	6
10	0	41	6.75	57	6
11	0	3	3.35	20	6
14	0	20	16	41	6
10	0	15	5.25	32	6
8	0	8	3.5	22	6
8	1	39	4.22	53	6
6	1	43	3	59	6
11	1	25	4	43	6
12	0	11	10	29	6
12	0	12	5	30	6
12	0	35	16	53	6
14	0	14	13.98	34	6
12	0	16	13.26	35	6
10	1	44	6.1	64	6
16	1	13	3.75	35	6
13	0	8	9	27	6
12	0	13	9.45	32	6
11	0	18	5.5	36	6
12	1	18	8.93	37	6
12	1	6	6.25	24	6
11	0	37	9.75	55	6
12	0	2	6.73	20	6
12	0	23	7.78	42	6
12	0	1	2.85	19	6
12	1	10	3.35	28	6
12	0	23	19.98	42	6
12	0	8	8.5	26	6
15	1	9	9.75	30	6
12	0	33	15	53	6
12	1	19	8	38	6
13	0	14	11.25	34	6
11	0	13	14	30	6
10	0	12	10	29	6
12	0	8	6.5	26	6
12	0	23	9.83	43	6
14	1	13	18.5	34	6
12	0	9	12.5	28	6
14	0	21	26	42	6
5	0	44	14	58	6
12	0	4	10.5	22	6
8	0	42	11	56	6
13	0	10	12.47	29	6
12	0	11	12.5	30	6
12	0	40	15	61	6
12	0	8	6	26	6
11	0	29	9.5	49	6
16	0	3	5	25	6
11	0	11	3.75	29	6
12	0	12	12.57	31	6
8	1	22	6.88	38	6
12	0	12	5.5	30	6
12	0	7	7	25	6
12	1	15	4.5	34	6
12	0	28	6.5	47	6
12	0	20	12	39	6
12	0	6	5	25	6
12	0	5	6.5	23	6
9	1	30	6.8	48	6
13	0	18	8.75	39	6
12	1	6	3.75	24	6
12	0	16	4.5	34	6
12	0	1	6	19	6
12	0	3	5.5	21	6
12	0	8	13	26	6
14	0	2	5.65	22	6
9	0	16	4.8	32	6
10	0	9	7	25	6
12	0	2	5.25	20	6
7	0	43	3.35	58	6
9	0	38	8.5	56	6
12	0	9	6	28	6
12	0	12	6.75	31	6
12	0	18	8.89	37	6
11	0	15	14.21	33	6
11	0	28	10.78	48	6
10	0	27	8.9	44	6
12	0	38	7.5	57	6
12	1	3	4.5	21	6
12	0	41	11.25	62	6
12	0	16	13.45	34	6
13	0	7	6	26	6
6	1	33	4.62	45	6
14	0	25	10.58	47	6
12	0	5	5	23	6
14	0	17	8.2	38	6
12	0	1	6.25	19	6
12	0	13	8.5	31	6
