round	week	water	temp	maillard	taste
1	4	1	100	2.9	10.1
1	4	1	110	2.13	11
1	4	1	120	2	11.1
1	4	2	100	2.13	11.1
1	4	2	120	2.38	11.9
1	4	2	140	2.56	10.7
1	4	3	100	2.6	10.8
1	4	3	110	1.91	11
1	4	3	140	2.27	10.8
2	4	1	100	2.19	11
2	4	1	110	2.32	11
2	4	1	120	2.41	11.6
2	4	2	100	2.49	11.1
2	4	2	120	2.61	11.7
2	4	2	140	2.63	10.8
2	4	3	100	2.06	11
2	4	3	110	1.98	10
2	4	3	140	2.27	11.2
3	4	1	100	2.13	10.1
3	4	1	110	2.13	9.4
3	4	1	120	2.22	10.7
3	4	2	100	2.8	8.3
3	4	2	120	2.77	10.9
3	4	2	140	2.99	9.2
3	4	3	100	1.98	10.3
3	4	3	110	1.98	9.3
3	4	3	140	2.2	10.5
1	6	1	100	2.13	10
1	6	1	110	2.34	10.5
1	6	1	120	2.49	11.2
1	6	2	100	2.41	10.8
1	6	2	120	2.85	11.2
1	6	2	140	2.84	11.2
1	6	3	100	2.24	8.4
1	6	3	110	2.06	11.4
1	6	3	140	2.42	11.6
2	6	3	100	2.11	11.2
2	6	3	110	1.98	11.8
2	6	3	140	2.2	11
2	6	1	100	2.2	9.3
2	6	1	110	2.27	11.3
2	6	1	120	2.49	11.7
2	6	2	100	2.34	11.2
2	6	2	120	2.7	10.8
2	6	2	140	2.61	11
3	6	1	100	2.2	7
3	6	1	110	2.34	10.7
3	6	1	120	2.49	10.3
3	6	2	100	2.63	9.7
3	6	2	120	3.06	9
3	6	2	140	3.28	9.6
3	6	3	100	2.34	10.2
3	6	3	110	2.51	9.2
3	6	3	140	2.77	10.2
1	8	1	100	2.39	9.6
1	8	1	110	2.41	9.8
1	8	1	120	2.71	11.4
1	8	2	100	2.49	11.2
1	8	2	120	2.06	11.2
1	8	2	140	3.1	9.8
1	8	3	100	2.32	10.8
1	8	3	110	2.29	9.4
1	8	3	140	2.72	12
2	8	1	100	2.27	11
2	8	1	110	2.25	11.2
2	8	1	120	2.46	9.6
2	8	2	100	2.53	9.2
2	8	2	120	2.7	11
2	8	2	140	2.81	11.6
2	8	3	100	2.2	11.8
2	8	3	110	2.15	10.6
2	8	3	140	2.41	11.4
3	8	1	100	2.41	9.6
3	8	1	110	2.42	9
3	8	1	120	2.73	10.2
3	8	2	100	3.33	7.8
3	8	2	120	3.25	9.4
3	8	2	140	3.75	9.6
3	8	3	100	2.8	10.6
3	8	3	110	2.81	10.2
3	8	3	140	3.06	10
