breed	pig	storage	time	redness
old	13	L	1	5.87
old	13	D	1	4.594
old	13	L	4	4.914
old	13	D	4	8.544
old	13	L	6	5.563
old	13	D	6	9.528
old	41	L	1	8.042
old	41	D	1	6.237
old	41	L	4	4.038
old	41	D	4	7.498
old	41	L	6	5.573
old	41	D	6	4.945
old	55	L	1	7.129
old	55	D	1	7.255
old	55	L	4	5.058
old	55	D	4	7.447
old	55	L	6	3.487
old	55	D	6	7.549
old	66	L	1	5.842
old	66	D	1	3.965
old	66	L	4	3.616
old	66	D	4	7.069
old	66	L	6	4.041
old	66	D	6	6.45
old	74	L	1	7.833
old	74	D	1	8.785
old	74	L	4	4.443
old	74	D	4	6.117
old	74	L	6	4.313
old	74	D	6	6.888
old	84	L	1	5.136
old	84	D	1	4.18
old	84	L	4	5.283
old	84	D	4	5.002
old	84	L	6	5.232
old	84	D	6	5.042
old	129	L	1	6.54
old	129	D	1	9.761
old	129	L	4	2.494
old	129	D	4	8.41
old	129	L	6	5.156
old	129	D	6	7.157
old	138	L	1	9.569
old	138	D	1	14.123
old	138	L	4	8.85
old	138	D	4	7.325
old	138	L	6	2.929
old	138	D	6	7.346
old	181	L	1	6.874
old	181	D	1	7.606
old	181	L	4	5.165
old	181	D	4	7.431
old	181	L	6	4.14
old	181	D	6	7.574
old	190	L	1	6.184
old	190	D	1	8.355
old	190	L	4	5.332
old	190	D	4	6.568
old	190	L	6	5.391
old	190	D	6	4.971
new	251	L	1	8.418
new	251	D	1	6.277
new	251	L	4	4.915
new	251	D	4	4.806
new	251	L	6	3.336
new	251	D	6	6.019
new	252	L	1	7.16
new	252	D	1	5.302
new	252	L	4	4.776
new	252	D	4	6.683
new	252	L	6	4.406
new	252	D	6	7.274
new	256	L	1	5.689
new	256	D	1	3.633
new	256	L	4	3.306
new	256	D	4	4.751
new	256	L	6	3.458
new	256	D	6	4.054
new	264	L	1	4.231
new	264	D	1	6.496
new	264	L	4	3.676
new	264	D	4	7.567
new	264	L	6	4.032
new	264	D	6	6.451
new	277	L	1	4.802
new	277	D	1	7.272
new	277	L	4	7.215
new	277	D	4	5.631
new	277	L	6	2.377
new	277	D	6	6.343
new	280	L	1	6.51
new	280	D	1	5.062
new	280	L	4	3.004
new	280	D	4	5.911
new	280	L	6	2.022
new	280	D	6	4.894
new	283	L	1	7.552
new	283	D	1	5.841
new	283	L	4	3.008
new	283	D	4	6.842
new	283	L	6	5.342
new	283	D	6	2.079
new	284	L	1	9.403
new	284	D	1	5.093
new	284	L	4	3.517
new	284	D	4	6.138
new	284	L	6	2.666
new	284	D	6	1.606
new	285	L	1	6.949
new	285	D	1	7.246
new	285	L	4	7.287
new	285	D	4	7.31
new	285	L	6	4.953
new	285	D	6	7.461
new	286	L	1	5.171
new	286	D	1	6.73
new	286	L	4	3.673
new	286	D	4	6.574
new	286	L	6	5.48
new	286	D	6	6.396
